Januar;Februar;März;April;Mai;Juni;Juli;August;Sept;Oktober;November;Dezember
;;;;;;erste_hilfe;erste_hilfe;erste_hilfe;;;
;;;;;;allergie;;;;;
;;;;;;heuschnupfen;heuschnupfen;heuschnupfen;heuschnupfen;;
;;;;;;asthma;asthma;asthma;asthma;;
;;;;;;bronchitis_akut;bronchitis_akut;bronchitis_akut;bronchitis_akut;;
;;;;;;makuladegeneration;makuladegeneration;makuladegeneration;makuladegeneration;;
;;;;;;arthrose;arthrose;;;;
;;;;;;gelenkschmerzen;gelenkschmerzen;;;;
;;;;;;muskeln_und_baender;muskeln_und_baender;muskeln_und_baender;;;
;;;;;;muskel_und_wadenkraempfe;muskel_und_wadenkraempfe;muskel_und_wadenkraempfe;muskel_und_wadenkraempfe;muskel_und_wadenkraempfe;muskel_und_wadenkraempfe
;;;;;;;rueckenschmerzen;rueckenschmerzen;rueckenschmerzen;rueckenschmerzen;rueckenschmerzen
;;;;;;diabetes;diabetes;;;;
;;;;;;;;;erkaeltung;erkaeltung;erkaeltung
;;;;;;;;;hals;hals;hals
;;;;;;;;;husten;husten;husten
;;;;;;;;;schnupfen;schnupfen;schnupfen
;;;;;;betreuen_foerdern;betreuen_foerdern;betreuen_foerdern;betreuen_foerdern;betreuen_foerdern;betreuen_foerdern
;;;;;;genitalherpes;genitalherpes;;;;
;;;;;;;;;erkaeltung_kinder;erkaeltung_kinder;erkaeltung_kinder
;;;;;;abszess;abszess;abszess;abszess;abszess;abszess
;;;;;;akne;akne;akne;akne;akne;akne
;;;;;;fusspilz;fusspilz;fusspilz;fusspilz;fusspilz;fusspilz
;;;;;;haarausfall;haarausfall;haarausfall;haarausfall;haarausfall;haarausfall
;;;;;;haut;haut;haut;haut;haut;haut
;;;;;;kopflaeuse;kopflaeuse;kopflaeuse;kopflaeuse;kopflaeuse;kopflaeuse
;;;;;;lippenherpes;lippenherpes;;;;
;;;;;;nagelpilz;nagelpilz;nagelpilz;nagelpilz;nagelpilz;nagelpilz
;;;;;;neurodermitis;neurodermitis;neurodermitis;neurodermitis;neurodermitis;neurodermitis
;;;;;;rosazea;rosazea;rosazea;rosazea;rosazea;rosazea
;;;;;;sonnenbrand_sonnenallergie;sonnenbrand_sonnenallergie;sonnenbrand_sonnenallergie;;;
;;;;;;;;;trockene_haut;trockene_haut;trockene_haut
;;;;;;warzen;warzen;warzen;;;
;;;;;;wundheilung;wundheilung;wundheilung;;;
;;;;;;blasenentzuendung;blasenentzuendung;blasenentzuendung;blasenentzuendung;blasenentzuendung;blasenentzuendung
;;;;;;inkontinenz;inkontinenz;;;;
;;;;;;anaemie;anaemie;anaemie;anaemie;anaemie;anaemie
;;;;;;bluthochdruck;bluthochdruck;bluthochdruck;bluthochdruck;bluthochdruck;bluthochdruck
;;;;;;eisenmangelanaemie;eisenmangelanaemie;eisenmangelanaemie;eisenmangelanaemie;eisenmangelanaemie;eisenmangelanaemie
;;;;;;haemophilie;haemophilie;haemophilie;haemophilie;haemophilie;haemophilie
;;;;;;herzinfarkt;herzinfarkt;herzinfarkt;herzinfarkt;herzinfarkt;herzinfarkt
;;;;;;koronare_herzkrankheit;koronare_herzkrankheit;koronare_herzkrankheit;koronare_herzkrankheit;koronare_herzkrankheit;koronare_herzkrankheit
;;;;;;schwerhoerigkeit;;;;;
;;;;;;immunsystem;immunsystem;immunsystem;immunsystem;immunsystem;immunsystem
;;;;;;itp;itp;itp;itp;itp;itp
;;;;;;guertelrose;guertelrose;guertelrose;;;
;;;;;;muedigkeit;muedigkeit;muedigkeit;muedigkeit;muedigkeit;muedigkeit
;;;;;;schlafstoerungen;schlafstoerungen;schlafstoerungen;schlafstoerungen;schlafstoerungen;schlafstoerungen
;;;;;;schlaf;schlaf;schlaf;schlaf;schlaf;schlaf
;;;;;;burn_out;burn_out;burn_out;burn_out;burn_out;burn_out
;;;;;;demenz;demenz;demenz;demenz;demenz;demenz
;;;;;;multiple_sklerose;multiple_sklerose;multiple_sklerose;multiple_sklerose;multiple_sklerose;multiple_sklerose
;;;;;;polyneuropathie;polyneuropathie;polyneuropathie;polyneuropathie;polyneuropathie;polyneuropathie
;;;;;;stress;stress;stress;stress;stress;stress
;;;;;;sucht;sucht;sucht;sucht;sucht;sucht
;;;;;;kopfschmerzen;kopfschmerzen;kopfschmerzen;kopfschmerzen;kopfschmerzen;kopfschmerzen
;;;;;;sport;sport;sport;;;
;;;;;;vitamin_d;vitamin_d;vitamin_d;vitamin_d;vitamin_d;vitamin_d
;;;;;;darmentzuendung;;;;;
;;;;;;durchfall;durchfall;durchfall;durchfall;durchfall;durchfall
;;;;;;;;;;;
